coluna_a_nome_tabela_dre,coluna_b_contas_cosif
Resultado de Intermediação Financeira (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j),Somatório das Rendas de Aplicações Interfinanceiras de Liquidez Rendas de Títulos e Valores Mobiliários Rendas de Operações de Crédito Rendas de Arrendamento Financeiro Rendas de Outras Operações com Características de Concessão de Crédito Resultado com Perda Esperada Despesas de Captações Despesas de Instrumentos de Dívida Elegíveis a Capital Resultado com Derivativos e Outros Resultados de Intermediação Financeira
Resultado com Serviços por Transações de Pagamento (l1),[7170500000]+ [8191900004]
Resultados de Perda Esperada com Transações de Pagamento (l2),[7199214102]+ [7199219107]+ [8199214101]+ [8199219106]
Outros Resultados com Transações de Pagamento (l3),[7191800002]+ [7198100004]+ [7199115005]+[8191800001]+ [8198100003]+ [8199115004]
Resultado com Transações de Pagamento (l),Somatório das Rendas de Serviços por Transações de Pagamento Resultados de Perda Esperada com Transações de Pagamento e Outros Resultados com Transações de Pagamento
Rendas de Tarifas Bancárias (m),[7170100008]+ [7170200001]
Outras Rendas de Prestação de Serviços (n),[7170000005]- [7170100008]- [7170200001]- [7170500000]
Despesas de Pessoal (o),[8171810004]+ [8171830008]+ [8172700003]+ [8173000001]+ [8173300000]+ [8173600009]+ [8173700002]+ [8199020003]
Despesas Administrativas (p),[8170000004]- [8171810004]- [8171830008]- [8172700003]- [8173000001]- [8173300000]- [8173600009]- [8173700002]- [8176900005]+ [8180000001]-[8181030001]- [8181035006]- [8181038003]
Resultado com Perdas Esperadas de Outras Operações (q),[7199281001]+ [7199283009]+ [7199288004]+ [8199281000]+ [8199283008]
Despesas de Juros Sobre Capital Próprio de Cooperativas (r),[8195600001]
Despesas Tributárias (s),[8176900005]+ [8192500001]+ [8193000005]+ [8193300004]
Resultado de Participações (t),[7180000002]+ [8160000007]+ [8181030001]+ [8181035006]+ [8181038003]
Outras Receitas (u),[7124020000]+ [7125020009]+ [7126000004]+ [7128500007]+ [7190000009]- [7191000008]- [7191500003]- [7191700009]- [7191800002]- [7192000007]- [7192500002]- [7194000005]- [7198100004]- [7199100003]- [7199200006]- [7199300009]- [7199400002]+ [7300000002]
Outras Despesas (v),[8130000006]+ [8190000008]- [8191200003]- [8191500002]- [8191800001]- [8191900004]- [8192500001]- [8193000005]- [8193300004]- [8194500009]- [8195000003]- [8195200009]- [8195600001]- [8198100003]- [8198600008]- [8199020003]- [8199100002]- [8199200005]- [8199300008]- [8199400001]+ [8300000001]
Outras Receitas / Despesas (w)= (m) + (n) + (o) + (p) + (q) + (r) + (s) + (t) + (u) + (v),Somatório das Rendas de Tarifas Bancárias Outras Rendas de Prestação de Serviços Despesas de Pessoal Despesas Administrativas Resultado com Perdas Esperadas com Outras Operações Despesas de Juros Sobre Capital Próprio de Cooperativas Despesas Tributárias Resultado de Participações Outras Receitas e Outras Despesas
Resultado antes da Tributação e Participações (x) = (k) + (l) + (w),[7100000006] + [7300000002] + [8100000005] + [8300000001]
Imposto de Renda e Contribuição Social (y),[7940000008]+ [8940000007]
Participações no Lucro (z),[8970000008]
Lucro Líquido (aa) = (x) + (y) + (z),[7000000003] + [8000000002]
